followers,following,bio_len,is_scam
2389,3560,153,0
3250,3391,128,0
2511,1418,66,0
2004,2254,90,0
3518,1246,117,0
2822,2902,136,0
1352,2285,50,0
1101,3623,89,0
864,2197,146,0
3160,1337,158,0
3995,2452,106,0
2767,3936,122,0
1341,1280,16,0
3342,4061,38,0
3854,2067,35,0
823,4969,13,0
3403,4526,82,0
2347,4413,72,0
2782,1127,110,0
530,53,67,0
650,2691,138,0
3398,2096,127,0
3637,4669,17,0
4445,4737,108,0
155,3911,135,1
3783,4673,101,0
4092,4915,126,0
3869,3216,138,0
3451,1114,120,0
588,3915,128,0
129,1689,144,1
4670,2020,36,0
3977,211,21,0
4121,4763,79,0
4698,1425,137,0
4747,3611,70,0
3123,2072,71,0
3666,3445,34,0
2287,891,129,0
1956,1341,11,0
589,596,89,0
3444,3154,75,0
3013,269,149,0
159,104,152,0
4830,2717,16,0
4540,1071,52,0
25,2462,99,1
4032,1917,85,0
2301,1601,135,0
2116,833,145,0
980,3374,83,0
414,4362,30,1
1620,1668,36,0
4043,4250,146,0
4616,805,37,0
2967,2080,65,0
2808,4732,118,0
3579,4033,102,0
3790,2500,74,0
2294,4741,134,0
785,206,140,0
4865,4845,37,0
1761,2750,26,0
2166,866,128,0
3505,1372,121,0
1530,2988,95,0
2774,2454,99,0
4447,2150,86,0
184,3631,23,1
4590,1488,136,0
2732,2668,123,0
1948,652,49,0
3901,4409,34,0
402,3769,104,0
4716,3524,84,0
1001,3816,42,0
1808,2258,10,0
2318,1078,101,0
799,4982,29,0
2783,1399,152,0
2438,3311,64,0
1683,2247,145,0
2385,2498,147,0
3946,1058,134,0
2793,4170,146,0
3469,3598,44,0
109,4971,28,1
2088,2473,124,0
4636,3057,63,0
1133,4276,143,0
3455,2697,27,0
964,1703,41,0
3638,2311,114,0
4894,67,117,0
138,2702,18,1
870,2966,114,0
2906,4923,96,0
1751,248,113,0
4441,4002,48,0
2674,4584,118,0
193,1904,53,0
831,4869,108,0
9,2837,44,1
4229,3329,113,0
3136,4832,110,0
893,3499,22,0
4302,3804,67,0
3352,29,125,0
1560,525,12,0
1774,2995,153,0
1164,4973,66,0
2218,519,91,0
1551,3570,78,0
3915,2881,99,0
2025,4925,125,0
2379,1298,143,0
257,1390,32,0
4395,896,119,0
691,2379,83,0
411,1202,145,0
1970,4240,27,0
776,2537,141,0
911,280,77,0
2585,2997,149,0
1904,4931,85,0
68,2659,73,1
3750,3456,142,0
4749,3016,150,0
1112,2133,96,0
4886,2506,41,0
2721,771,45,0
255,3132,135,1
652,2896,115,0
783,4319,26,0
3860,2240,58,0
275,4351,67,1
947,3279,40,0
4658,4879,24,0
4134,298,110,0
4797,2286,34,0
3786,4498,86,0
1949,4912,41,0
3322,3111,78,0
1432,642,114,0
3472,3959,70,0
2559,3246,99,0
1887,1115,84,0
1196,4347,125,0
2194,310,10,0
2488,44,36,0
4816,3508,44,0
3964,113,33,0
2115,4079,42,0
3030,3295,141,0
1227,1896,55,0
1118,4236,106,0
4892,397,151,0
1121,1560,126,0
4202,3466,127,0
2392,3690,62,0
2686,1436,95,0
2193,3864,27,0
464,3910,91,0
33,1866,129,1
154,593,120,0
2291,362,117,0
3883,1926,69,0
4214,4720,85,0
1542,2973,79,0
3010,3444,112,0
4911,402,49,0
4549,2303,49,0
4785,3681,87,0
4866,1627,92,0
2185,2155,150,0
2419,2622,55,0
520,2695,47,0
2954,4035,155,0
1251,1062,133,0
4977,120,140,0
1145,1211,83,0
3715,2633,89,0
1451,559,52,0
570,775,11,0
3713,3701,121,0
4947,500,10,0
4633,2861,50,0
4163,4715,146,0
1237,3088,128,0
1736,3288,39,0
4296,1860,79,0
3450,617,123,0
964,866,58,0
572,1650,31,0
2428,2640,142,0
3522,365,65,0
4956,1752,62,0
4076,3223,51,0
3538,1284,89,0
433,492,31,0
553,868,129,0
2323,2083,30,0
3145,342,138,0
1902,1875,46,0
1715,4314,152,0
999,3881,73,0
4911,116,29,0
1739,3492,10,0
2917,2937,102,0
2053,969,34,0
2656,4109,14,0
3648,4859,18,0
956,1587,125,0
1332,827,91,0
1976,720,98,0
4656,54,127,0
617,4969,129,0
3260,239,128,0
1032,3068,157,0
976,1705,57,0
2214,2149,138,0
2884,4996,54,0
3862,1296,119,0
3850,626,30,0
2949,3671,89,0
1807,1769,32,0
4983,2614,90,0
1805,4473,147,0
1697,2011,12,0
4027,952,103,0
2504,2133,59,0
989,3427,116,0
3708,4863,66,0
1767,1610,88,0
2325,3334,136,0
1632,2147,99,0
2953,3084,72,0
2643,1160,159,0
3357,3483,74,0
2493,22,45,0
969,4640,153,0
2560,1817,103,0
1847,2712,76,0
4808,4502,30,0
4525,748,20,0
821,2552,43,0
4792,2882,112,0
1599,3973,109,0
761,3299,30,0
354,2330,159,0
4628,3012,83,0
218,207,19,0
1047,997,116,0
1096,1694,107,0
2628,4879,65,0
1478,322,117,0
1372,4559,20,0
1166,706,67,0
4518,2259,60,0
2438,3982,40,0
542,2976,131,0
2138,769,33,0
4146,2518,142,0
1844,983,95,0
604,2028,142,0
2850,3463,15,0
3287,850,86,0
2173,251,142,0
4552,4385,43,0
506,829,47,0
4541,1832,33,0
2675,949,105,0
4203,987,82,0
1129,837,98,0
1948,4490,45,0
420,3117,95,0
4836,2594,83,0
1084,2601,52,0
333,1738,129,0
4276,1056,140,0
4602,4007,94,0
2165,1528,120,0
1883,3902,18,0
2404,2319,115,0
2124,2127,12,0
4056,1344,96,0
1212,3632,23,0
3402,1888,157,0
3604,1114,51,0
952,907,72,0
1682,2321,147,0
4564,4432,66,0
3049,2477,84,0
40,366,98,0
1951,618,69,0
1926,1117,123,0
2117,279,11,0
4341,2318,107,0
953,3598,91,0
4809,1564,34,0
185,1490,115,0
1902,294,15,0
3985,791,42,0
4447,2699,43,0
1844,4830,48,0
3741,3285,72,0
4735,2725,72,0
4914,3197,67,0
3972,3290,69,0
3579,1450,84,0
4535,4591,14,0
3176,1654,155,0
4967,1804,46,0
1164,4515,101,0
134,2088,66,1
3575,4252,149,0
1291,3125,49,0
3160,1601,124,0
4725,2950,49,0
176,2265,71,1
4249,217,58,0
227,2355,103,1
201,2901,138,1
4248,2889,55,0
331,2039,48,0
1912,3928,77,0
2825,1621,24,0
1343,1050,123,0
71,71,128,0
1575,4330,20,0
3886,3674,60,0
3716,3889,150,0
1484,2753,157,0
2379,654,31,0
3207,4379,131,0
238,573,146,0
3750,132,35,0
1383,4512,95,0
1125,255,155,0
1824,96,119,0
3794,1601,133,0
2769,714,78,0
3070,3098,86,0
777,2392,92,0
4680,76,95,0
3570,1817,129,0
3609,4628,131,0
1554,3355,79,0
672,1956,121,0
646,420,64,0
3201,1840,26,0
4836,4001,18,0
1935,1838,73,0
3219,4324,55,0
4462,2370,97,0
1593,2930,121,0
1072,1747,100,0
436,597,97,0
3992,2675,118,0
3950,830,63,0
85,3024,96,1
3038,79,14,0
3906,1373,25,0
1608,3673,101,0
851,493,115,0
3020,3353,31,0
1039,3137,74,0
2314,2470,125,0
77,3484,81,1
3026,1321,45,0
4723,1521,69,0
2670,3055,11,0
2130,593,130,0
1548,1087,43,0
3374,1495,33,0
2466,3148,43,0
2003,3084,75,0
1914,2593,92,0
3250,2166,158,0
3057,208,99,0
197,2507,146,1
2553,2216,139,0
3846,1359,35,0
1272,1120,148,0
581,3787,102,0
4918,1792,119,0
1779,200,32,0
1596,399,76,0
3171,2290,140,0
4137,1141,139,0
1883,806,151,0
378,3137,39,0
3406,2580,159,0
2563,2618,106,0
3580,3674,114,0
2139,393,118,0
422,4122,134,0
2325,2937,12,0
4089,4326,87,0
2252,686,81,0
3567,2379,98,0
1151,2400,25,0
628,2658,18,0
1024,4462,31,0
3521,968,100,0
1083,2879,137,0
1947,161,113,0
3713,1981,50,0
